epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5708.26,0.7275,0.51397,0.84775,0.94842,0.95,0.905,0.76353,0.68944,0.4952,0.95595,0.0006536,0.0006536,0.0006536
70,5794.31,0.68647,0.45634,0.85211,0.94801,0.95,0.904,0.76391,0.70751,0.52722,0.9311,0.0006338,0.0006338,0.0006338
71,5874.25,0.73534,0.47558,0.84136,0.94775,0.95,0.915,0.75923,0.70618,0.53164,0.94173,0.000614,0.000614,0.000614
72,5958.49,0.71377,0.47717,0.84011,0.94795,0.95,0.914,0.74001,0.74883,0.50841,0.94556,0.0005942,0.0005942,0.0005942
73,6042.75,0.72188,0.50768,0.84185,0.94805,0.95,0.91,0.76106,0.70322,0.49817,0.94713,0.0005744,0.0005744,0.0005744
74,6127.14,0.73091,0.48801,0.84356,0.94801,0.95,0.915,0.76905,0.67636,0.50221,0.95047,0.0005546,0.0005546,0.0005546
75,6214.5,0.74411,0.49973,0.85856,0.94772,0.95,0.91202,0.77042,0.71952,0.51635,0.94493,0.0005348,0.0005348,0.0005348
76,6299.13,0.70798,0.45712,0.84003,0.9479,0.95,0.91746,0.76943,0.71862,0.51667,0.93179,0.000515,0.000515,0.000515
77,6384.73,0.75015,0.46272,0.82908,0.94797,0.95,0.9165,0.7647,0.70679,0.46953,0.94653,0.0004952,0.0004952,0.0004952
78,6469.08,0.70763,0.49531,0.8552,0.94799,0.95,0.9125,0.77213,0.67505,0.46188,0.943,0.0004754,0.0004754,0.0004754
79,6552.31,0.68489,0.45547,0.82821,0.94818,0.95,0.9115,0.76951,0.69709,0.46412,0.93049,0.0004556,0.0004556,0.0004556
80,6634.27,0.684,0.47737,0.82284,0.94827,0.95,0.9075,0.76703,0.70966,0.46629,0.93404,0.0004358,0.0004358,0.0004358
81,6723.23,0.70457,0.50742,0.84969,0.94803,0.95,0.91491,0.76091,0.71349,0.48108,0.94206,0.000416,0.000416,0.000416
82,6805.4,0.71991,0.4653,0.83897,0.94788,0.95,0.92147,0.77452,0.68578,0.48368,0.93817,0.0003962,0.0003962,0.0003962
83,6890.11,0.68837,0.48139,0.83985,0.94808,0.95,0.92079,0.76759,0.69101,0.47145,0.94128,0.0003764,0.0003764,0.0003764
84,6975.57,0.7199,0.475,0.82635,0.94826,0.95,0.92196,0.76146,0.70883,0.48023,0.94508,0.0003566,0.0003566,0.0003566
